"YearsCodePro","ConvertedCompYearly","EdLevel","Country"
10,194400,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,65000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,110000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
5,106960,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
14,130000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
21,102000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
15,130000,"Associate degree (A.A., A.S., etc.)","United States of America"
5,135000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,170000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,141000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
12,150000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
20,160000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
7,95000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,166000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
4,92000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
17,2e+05,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
5,35000,"Some college/university study without earning a degree","United States of America"
25,130000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
3,110000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,98000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
24,144000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
11,2e+05,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
1,132000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
15,136000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
0.5,130000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
15,2e+05,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
3,110000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
1,70000,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","United States of America"
4,1e+05,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
10,120000,"Associate degree (A.A., A.S., etc.)","United States of America"
9,1e+05,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
5,75000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
14,147000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,172000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
14,101000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
9,120000,"Associate degree (A.A., A.S., etc.)","United States of America"
19,160000,"Associate degree (A.A., A.S., etc.)","United States of America"
4,175000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
46,1e+05,"Some college/university study without earning a degree","United States of America"
5,75000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
22,250000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
23,140000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,67000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
18,315000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,150000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,83000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
8,104000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
1,155000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,206000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,45000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
2,130000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
10,230000,"Some college/university study without earning a degree","United States of America"
12,155000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,130000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
1,80000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
4,240000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
0.5,1e+05,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
7,75000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
3,120000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
20,160000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
32,175000,"Other doctoral degree (Ph.D., Ed.D., etc.)","United States of America"
11,150000,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","United States of America"
14,120000,"Some college/university study without earning a degree","United States of America"
20,210000,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","United States of America"
